Generation,Investment,Iteration,CO2 Price
OCGT,3.4772180437819578,1,0.06771346639480116
CCGT,0.1913847117819546,1,0.06771346639480116
WIND,52.067475978885476,1,0.06771346639480116
SOLAR,69.28768178273573,1,0.06771346639480116
OCGT,3.478383837053032,2,0.02683743105555393
CCGT,0.15378787878977254,2,0.02683743105555393
WIND,45.34748448138285,2,0.02683743105555393
SOLAR,84.81439984081996,2,0.02683743105555393
OCGT,3.4783838370530304,3,0.018819812720695966
CCGT,0.1537878787897731,3,0.018819812720695966
WIND,42.84624057168388,3,0.018819812720695966
SOLAR,73.42660244993108,3,0.018819812720695966
OCGT,3.4777777764469726,4,0.0891167446608227
CCGT,0.1733333333352255,4,0.0891167446608227
WIND,50.22674641214864,4,0.0891167446608227
SOLAR,70.81071708104982,4,0.0891167446608227
OCGT,3.4796614570000144,5,0.12461228432625915
CCGT,0.11258463549999723,5,0.12461228432625915
WIND,39.62188580281182,5,0.12461228432625915
SOLAR,61.34821770144679,5,0.12461228432625915
OCGT,3.4802272713939373,6,0.14904899060620744
CCGT,0.09433712129545346,6,0.14904899060620744
WIND,35.286897011206705,6,0.14904899060620744
SOLAR,59.933875383844686,6,0.14904899060620744
OCGT,3.4772180437820013,7,0.103997841475253
CCGT,0.1913847117819436,7,0.103997841475253
WIND,62.88587228677048,7,0.103997841475253
SOLAR,84.61038671830794,7,0.103997841475253
OCGT,3.4789303469250137,8,0.1774562276521396
CCGT,0.1361629354067739,8,0.1774562276521396
WIND,53.47224933109599,8,0.1774562276521396
SOLAR,92.82463415537475,8,0.1774562276521396
OCGT,3.478930346925372,9,0.03291953795583891
CCGT,0.13616293540671592,9,0.03291953795583891
WIND,37.38305858982573,9,0.03291953795583891
SOLAR,60.85124126277327,9,0.03291953795583891
OCGT,3.480227271393868,10,0.1206080817341484
CCGT,0.09433712129545434,10,0.1206080817341484
WIND,36.98447823677308,10,0.1206080817341484
SOLAR,92.49695782218942,10,0.1206080817341484
OCGT,3.4796614570000024,11,0.1296598694060488
CCGT,0.1125846354999996,11,0.1296598694060488
WIND,38.34466396122852,11,0.1296598694060488
SOLAR,66.66016323135887,11,0.1296598694060488
OCGT,3.4777777764469415,12,0.061579554063434655
CCGT,0.17333333333519924,12,0.061579554063434655
WIND,47.061881307919776,12,0.061579554063434655
SOLAR,63.891847265050714,12,0.061579554063434655
OCGT,3.4796614569999997,13,0.09619160272737816
CCGT,0.11258463550000015,13,0.09619160272737816
WIND,37.48560447463035,13,0.09619160272737816
SOLAR,87.00611985766851,13,0.09619160272737816
OCGT,3.479276484457379,14,0.0672549713184036
CCGT,0.12499999999998643,14,0.0672549713184036
WIND,37.8264594135716,14,0.0672549713184036
SOLAR,59.332661580772665,14,0.0672549713184036
OCGT,3.480227271393937,15,0.13435301865973992
CCGT,0.09433712129546465,15,0.13435301865973992
WIND,37.01326918847748,15,0.13435301865973992
SOLAR,88.28272808097947,15,0.13435301865973992
OCGT,3.480227271393996,16,0.0940267546083048
CCGT,0.09433712129544353,16,0.0940267546083048
WIND,34.89782623585973,16,0.0940267546083048
SOLAR,64.88571773161854,16,0.0940267546083048
OCGT,3.4792764846603372,17,0.11030375280052863
CCGT,0.1249999999492293,17,0.11030375280052863
WIND,43.80603168892141,17,0.11030375280052863
SOLAR,63.31739151243431,17,0.11030375280052863
OCGT,3.4783838370530056,18,0.04904928909023953
CCGT,0.15378787878976938,18,0.04904928909023953
WIND,46.607278635441446,18,0.04904928909023953
SOLAR,84.18655075705021,18,0.04904928909023953
OCGT,3.4802272713939426,19,0.12526553037414498
CCGT,0.0943371212954988,19,0.12526553037414498
WIND,34.92847697020338,19,0.12526553037414498
SOLAR,95.67573979282892,19,0.12526553037414498
OCGT,3.477777776446974,20,0.07308510325439294
CCGT,0.1733333333352172,20,0.07308510325439294
WIND,45.71887630291263,20,0.07308510325439294
SOLAR,61.00520383419561,20,0.07308510325439294
OCGT,3.478930346925357,21,0.11307004093046841
CCGT,0.13616293540672125,21,0.11307004093046841
WIND,47.45168679412008,21,0.11307004093046841
SOLAR,62.61008746772924,21,0.11307004093046841
OCGT,3.478721803180722,22,0.034400011699252706
CCGT,0.14288847118047165,22,0.034400011699252706
WIND,41.3120029665687,22,0.034400011699252706
SOLAR,80.1266325385723,22,0.034400011699252706
OCGT,3.478930346925371,23,0.03622788284133588
CCGT,0.13616293540671662,23,0.03622788284133588
WIND,40.031767292003266,23,0.03622788284133588
SOLAR,63.499443060031,23,0.03622788284133588
OCGT,3.4764141400833197,24,0.11942036228890368
CCGT,0.21731060606250596,24,0.11942036228890368
WIND,55.87576833686835,24,0.11942036228890368
SOLAR,62.295019581852884,24,0.11942036228890368
OCGT,3.4792764844574218,25,0.10545090165553231
CCGT,0.12499999999997513,25,0.10545090165553231
WIND,43.14614364911378,25,0.10545090165553231
SOLAR,61.2914305449625,25,0.10545090165553231
OCGT,3.479661457000015,26,0.11367946612511375
CCGT,0.11258463549999574,26,0.11367946612511375
WIND,41.41790722374581,26,0.11367946612511375
SOLAR,73.09104025158969,26,0.11367946612511375
OCGT,3.4777777764469486,27,0.10285487118682782
CCGT,0.17333333333523437,27,0.10285487118682782
WIND,48.702308316162686,27,0.10285487118682782
SOLAR,61.3206071026543,27,0.10285487118682782
OCGT,3.480227271393941,28,0.11995749098408162
CCGT,0.09433712129544966,28,0.11995749098408162
WIND,34.641502260059085,28,0.11995749098408162
SOLAR,65.5851603753713,28,0.11995749098408162
OCGT,3.477777776446983,29,0.09221744072783596
CCGT,0.17333333333524215,29,0.09221744072783596
