Location,Timetag,Hourly Surface solar radiation downwards (J/m2),Temperature factor
home,2020-05-12 18:00:00,149504.0,0.89570165
home,2020-05-12 19:00:00,3724.0,0.87997454
home,2020-05-12 20:00:00,0.0,0.85841024
home,2020-05-12 21:00:00,0.0,0.8413716
home,2020-05-12 22:00:00,0.0,0.82439137
home,2020-05-12 23:00:00,0.0,0.8129473
home,2020-05-13 00:00:00,0.0,0.8074224
home,2020-05-13 01:00:00,0.0,0.8051439
home,2020-05-13 02:00:00,0.0,0.7980927
home,2020-05-13 03:00:00,2452.0,0.7881789
home,2020-05-13 04:00:00,188328.0,0.77658653
home,2020-05-13 05:00:00,664398.0,0.77883655
home,2020-05-13 06:00:00,1155064.0,0.8303351
home,2020-05-13 07:00:00,1644796.0,0.8703822
home,2020-05-13 08:00:00,1757556.0,0.89411867
home,2020-05-13 09:00:00,1973064.0,0.9046568
home,2020-05-13 10:00:00,1876478.0,0.91139513
home,2020-05-13 11:00:00,2132364.0,0.91230273
home,2020-05-13 12:00:00,2073756.0,0.9169759
home,2020-05-13 13:00:00,1836812.0,0.91792774
home,2020-05-13 14:00:00,1587572.0,0.91786325
home,2020-05-13 15:00:00,1276352.0,0.91532177
home,2020-05-13 16:00:00,925380.0,0.90875745
home,2020-05-13 17:00:00,553740.0,0.9011359
home,2020-05-13 18:00:00,212228.0,0.8896665
home,2020-05-13 19:00:00,4848.0,0.87066257
home,2020-05-13 20:00:00,0.0,0.85562086
home,2020-05-13 21:00:00,0.0,0.8441159
home,2020-05-13 22:00:00,0.0,0.82863486
home,2020-05-13 23:00:00,0.0,0.8146797
home,2020-05-14 00:00:00,0.0,0.8016758
home,2020-05-14 01:00:00,0.0,0.7908856
home,2020-05-14 02:00:00,0.0,0.7835148
home,2020-05-14 03:00:00,3262.0,0.77695113
home,2020-05-14 04:00:00,198796.0,0.7708302
home,2020-05-14 05:00:00,639770.0,0.7808155
home,2020-05-14 06:00:00,1271098.0,0.8093673
home,2020-05-14 07:00:00,1863328.0,0.8418454
home,2020-05-14 08:00:00,2270850.0,0.8674171
home,2020-05-14 09:00:00,2360812.0,0.8884371
home,2020-05-14 10:00:00,2408484.0,0.9002646
home,2020-05-14 11:00:00,2417188.0,0.91070217
home,2020-05-14 12:00:00,2342236.0,0.919154
home,2020-05-14 13:00:00,2096160.0,0.9251816
home,2020-05-14 14:00:00,1853216.0,0.9272407
home,2020-05-14 15:00:00,1406728.0,0.9270691
home,2020-05-14 16:00:00,1158684.0,0.92205524
home,2020-05-14 17:00:00,561868.0,0.9155355
home,2020-05-14 18:00:00,199564.0,0.9032731
home,2020-05-14 19:00:00,6252.0,0.89017916
home,2020-05-14 20:00:00,0.0,0.86696076
home,2020-05-14 21:00:00,0.0,0.847108
home,2020-05-14 22:00:00,0.0,0.8284909
home,2020-05-14 23:00:00,0.0,0.8120165
home,2020-05-15 00:00:00,0.0,0.79858965
home,2020-05-15 01:00:00,0.0,0.7858404
home,2020-05-15 02:00:00,0.0,0.7748037
home,2020-05-15 03:00:00,4401.0,0.76503915
home,2020-05-15 04:00:00,215260.0,0.7569177
home,2020-05-15 05:00:00,693699.0,0.7643113
home,2020-05-15 06:00:00,1285470.0,0.805228
home,2020-05-15 07:00:00,1781374.0,0.8394394
home,2020-05-15 08:00:00,2106700.0,0.8685811
home,2020-05-15 09:00:00,2254394.0,0.88922024
home,2020-05-15 10:00:00,2217714.0,0.90560204
home,2020-05-15 11:00:00,2125572.0,0.9227649
home,2020-05-15 12:00:00,1937124.0,0.9340862
home,2020-05-15 13:00:00,1471260.0,0.9420498
home,2020-05-15 14:00:00,965148.0,0.9435528
